KundeNr,Geschlecht,Alter,Einkommen,Niederlassung,Zeit,Preis
K0298,Männlich,64.0,72069.0,Berlin,47.0,116154.84
K0299,Weiblich,46.0,67665.0,Berlin,50.0,83620.57
K0300,Männlich,57.0,78848.0,Sachsen,59.0,122846.97
K0301,Männlich,59.0,81225.0,Nordrhein-Westfalen,57.0,111772.36
K0302,Männlich,58.0,48580.0,Baden-Württemberg,32.0,77722.17
K0303,Männlich,35.0,44671.0,Baden-Württemberg,34.0,58157.49
K0304,Weiblich,64.0,82125.0,Berlin,66.0,99958.46
K0305,Männlich,70.0,84543.0,Baden-Württemberg,60.0,128417.08
K0306,Weiblich,66.0,82969.0,Hessen,62.0,138621.96
K0307,Männlich,53.0,62592.0,Baden-Württemberg,48.0,93932.46
K0308,Weiblich,58.0,59308.0,Hamburg,50.0,73667.3
K0309,Männlich,60.0,51150.0,Baden-Württemberg,38.0,94420.15
K0310,Männlich,64.0,66894.0,Bayern,43.0,88160.31
K0311,Weiblich,62.0,100769.0,Niedersachsen,71.0,125018.41
K0312,Männlich,50.0,53438.0,Brandenburg,50.0,81140.06
K0313,Weiblich,61.0,49390.0,Thüringen,33.0,85180.08
K0314,Weiblich,52.0,68820.0,Nordrhein-Westfalen,45.0,88926.82
K0315,Männlich,62.0,81002.0,Bayern,54.0,115409.9
K0316,Männlich,32.0,53135.0,Baden-Württemberg,53.0,81152.36
K0317,Weiblich,47.0,60557.0,Nordrhein-Westfalen,49.0,96808.99
K0318,Männlich,54.0,72215.0,Sachsen,42.0,117790.98
K0319,Männlich,60.0,89512.0,Nordrhein-Westfalen,59.0,145466.52
K0320,Männlich,32.0,31090.0,Baden-Württemberg,29.0,59413.64
K0321,Männlich,69.0,69084.0,Thüringen,41.0,107414.81
K0322,Männlich,53.0,50089.0,Bayern,39.0,90472.38
K0323,Weiblich,61.0,67757.0,Nordrhein-Westfalen,47.0,107610.75
K0324,Weiblich,51.0,75335.0,Sachsen,50.0,110590.22
K0325,Männlich,52.0,66602.0,Bayern,45.0,98756.07
K0326,Weiblich,31.0,43389.0,Sachsen,47.0,52734.87
K0327,Männlich,56.0,45484.0,Bayern,35.0,68018.6
K0328,Weiblich,31.0,30572.0,Thüringen,31.0,47857.93
K0329,Männlich,55.0,44222.0,Bayern,37.0,78218.77
K0330,Männlich,46.0,67067.0,Thüringen,45.0,88579.71
K0331,Männlich,69.0,96516.0,Baden-Württemberg,64.0,142208.17
K0332,Männlich,62.0,80179.0,Niedersachsen,56.0,138650.02
K0333,Weiblich,38.0,34983.0,Hamburg,33.0,39236.62
K0334,Weiblich,68.0,94307.0,Berlin,56.0,139799.0
K0335,Männlich,58.0,64638.0,Bayern,46.0,98621.47
K0336,Männlich,55.0,50959.0,Niedersachsen,46.0,88240.21
K0337,Weiblich,64.0,63436.0,Baden-Württemberg,45.0,95562.13
K0338,Männlich,54.0,58380.0,Hessen,45.0,89265.3
K0339,Männlich,53.0,62497.0,Bayern,47.0,95797.57
K0340,Männlich,42.0,48275.0,Thüringen,42.0,70990.88
K0341,Weiblich,36.0,28194.0,Baden-Württemberg,33.0,33483.78
K0342,Weiblich,65.0,88138.0,Baden-Württemberg,58.0,123538.59
K0343,Männlich,49.0,55986.0,Bayern,37.0,71207.17
K0344,Männlich,30.0,29264.0,Berlin,21.0,54886.03
K0345,Weiblich,37.0,56641.0,Bayern,50.0,59783.06
K0346,Weiblich,45.0,40446.0,Brandenburg,41.0,76851.18
K0347,Männlich,43.0,33444.0,Nordrhein-Westfalen,36.0,63707.22
K0348,Weiblich,41.0,62740.0,Niedersachsen,52.0,91641.0
K0349,Männlich,52.0,81387.0,Hessen,55.0,91299.91
K0350,Männlich,44.0,47183.0,Baden-Württemberg,34.0,70636.85
K0351,Weiblich,57.0,65801.0,Niedersachsen,41.0,110519.86
K0352,Männlich,63.0,60374.0,Baden-Württemberg,38.0,92221.35
K0353,Männlich,31.0,38149.0,Nordrhein-Westfalen,43.0,46875.9
K0354,Männlich,61.0,65481.0,Bayern,44.0,95229.38
K0355,Männlich,52.0,59767.0,Berlin,52.0,90442.28
K0356,Weiblich,51.0,64228.0,Bayern,46.0,85280.73
K0357,Männlich,54.0,51135.0,Nordrhein-Westfalen,36.0,95898.4
K0358,Weiblich,51.0,55866.0,Baden-Württemberg,35.0,84704.04
K0359,Männlich,51.0,40228.0,Hessen,31.0,64816.33
K0360,Männlich,35.0,38580.0,Baden-Württemberg,44.0,47131.37
K0361,Männlich,44.0,51181.0,Niedersachsen,33.0,83060.06
K0362,Weiblich,66.0,78548.0,Sachsen,69.0,121289.35
K0363,Männlich,62.0,74323.0,Berlin,46.0,103270.9
K0364,Weiblich,37.0,54403.0,Brandenburg,47.0,53690.36
K0365,Männlich,34.0,24647.0,Sachsen,26.0,49746.45
K0366,Weiblich,68.0,62116.0,Hamburg,44.0,98786.45
K0367,Männlich,33.0,45996.0,Brandenburg,29.0,70449.86
K0368,Weiblich,35.0,20317.0,Hessen,24.0,60372.24
K0369,Weiblich,61.0,72628.0,Niedersachsen,43.0,107586.29
K0370,Weiblich,59.0,55669.0,Baden-Württemberg,31.0,84097.56
K0371,Weiblich,64.0,90952.0,Nordrhein-Westfalen,61.0,116583.47
K0372,Weiblich,69.0,82036.0,Berlin,52.0,118543.95
K0373,Männlich,45.0,50903.0,Baden-Württemberg,52.0,79988.48
K0374,Männlich,42.0,63339.0,Nordrhein-Westfalen,54.0,90132.53
K0375,Männlich,59.0,56937.0,Berlin,55.0,109491.66
K0376,Weiblich,48.0,47062.0,Baden-Württemberg,34.0,79825.38
K0377,Männlich,46.0,40684.0,Niedersachsen,36.0,66968.71
K0378,Weiblich,48.0,47153.0,Sachsen,20.0,67603.44
K0379,Männlich,57.0,66962.0,Sachsen,47.0,103890.1
K0380,Männlich,55.0,69487.0,Thüringen,50.0,93455.52
K0381,Männlich,66.0,86491.0,Nordrhein-Westfalen,59.0,127825.69
K0382,Weiblich,55.0,44341.0,Baden-Württemberg,37.0,80565.16
K0383,Männlich,52.0,59011.0,Berlin,45.0,88150.0
K0384,Männlich,38.0,33666.0,Nordrhein-Westfalen,44.58485401459854,50494.07
K0385,Männlich,41.0,46713.0,Bayern,40.0,49617.32
K0386,Männlich,30.0,62318.0,Hessen,50.0,93943.58
K0387,Männlich,30.0,40170.0,Hessen,44.0,63566.56
K0388,Männlich,63.0,82564.0,Bayern,59.0,124742.75
K0389,Weiblich,61.0,91903.0,Sachsen,60.0,111764.41
K0390,Männlich,54.0,75271.0,Brandenburg,60.0,122250.09
K0391,Männlich,69.0,74462.0,Berlin,36.0,110415.92
K0392,Männlich,30.0,23168.0,Thüringen,23.0,38984.74
K0393,Männlich,45.0,52953.0,Brandenburg,36.0,69536.92
K0394,Männlich,68.0,72078.0,Baden-Württemberg,51.0,93935.85
K0395,Männlich,34.0,24811.0,Hamburg,44.58485401459854,57541.73
K0396,Männlich,51.0,62402.0,Nordrhein-Westfalen,55.0,106473.29
K0397,Männlich,58.0,70268.0,Nordrhein-Westfalen,48.0,103403.43
